year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,206,881,81.05
2005,1038,192,846,81.50
2006,1069,187,882,82.51
2007,1058,155,903,85.35
2008,1061,147,914,86.15
2009,1094,156,938,85.74
2010,1050,139,911,86.76
2011,1057,120,937,88.65
2012,1059,122,937,88.48
2013,1042,102,940,90.21
2014,1014,94,920,90.73
2015,1011,96,915,90.50
2016,1076,80,996,92.57
2017,1043,65,978,93.77
2018,1090,58,1032,94.68
2019,1038,58,980,94.41
2020,967,42,925,95.66
